protein1 protein2 combined_score
99287.STM1577 99287.STM0008 177
99287.STM0008 99287.STM1764 177
99287.STM1764 99287.STM0008 177
99287.STM0008 99287.STM1899 181
99287.STM1899 99287.STM0008 181
99287.STM0008 99287.STM2272 326
99287.STM2272 99287.STM0008 326
99287.STM0008 99287.STM2499 194
99287.STM2499 99287.STM0008 194
99287.STM0008 99287.STM2854 177
99287.STM2854 99287.STM0008 177
99287.STM0008 99287.STM3008 173
99287.STM3008 99287.STM0008 173
99287.STM0008 99287.STM3144 177
99287.STM3144 99287.STM0008 177
99287.STM0008 99287.STM3842 629
99287.STM3842 99287.STM0008 629
99287.STM0008 99287.STM3993 228
99287.STM3993 99287.STM0008 228
99287.STM0008 99287.STM4130 606
99287.STM4130 99287.STM0008 606
99287.STM0008 99287.STM4499 181
99287.STM4499 99287.STM0008 181
99287.STM0009 99287.STM0371 394
99287.STM0371 99287.STM0009 394
99287.STM0009 99287.STM4275 394
99287.STM4275 99287.STM0009 394
99287.STM0010 99287.STM1174 229
99287.STM1174 99287.STM0010 229
99287.STM0010 99287.STM1291 229
99287.STM1291 99287.STM0010 229
99287.STM0012 99287.STM0013 985
99287.STM0013 99287.STM0012 985
99287.STM0012 99287.STM0049 370
99287.STM0049 99287.STM0012 370
99287.STM0012 99287.STM0067 343
99287.STM0067 99287.STM0012 343
99287.STM0012 99287.STM0087 313
99287.STM0087 99287.STM0012 313
99287.STM0012 99287.STM0088 276
99287.STM0088 99287.STM0012 276
99287.STM0012 99287.STM0094 747
99287.STM0094 99287.STM0012 747
99287.STM0012 99287.STM0113 235
99287.STM0113 99287.STM0012 235
99287.STM0012 99287.STM0133 630
99287.STM0133 99287.STM0012 630
99287.STM0012 99287.STM0136 554
99287.STM0136 99287.STM0012 554
99287.STM0012 99287.STM0189 311
99287.STM0189 99287.STM0012 311
99287.STM0012 99287.STM0224 248
99287.STM0224 99287.STM0012 248
99287.STM0012 99287.STM0244 171
99287.STM0244 99287.STM0012 171
99287.STM0012 99287.STM0272 624
99287.STM0272 99287.STM0012 624
99287.STM0012 99287.STM0331 211
99287.STM0331 99287.STM0012 211
99287.STM0012 99287.STM0402 339
99287.STM0402 99287.STM0012 339
99287.STM0012 99287.STM0423 221
99287.STM0423 99287.STM0012 221
99287.STM0012 99287.STM0433 427
99287.STM0433 99287.STM0012 427
99287.STM0012 99287.STM0443 191
99287.STM0443 99287.STM0012 191
99287.STM0012 99287.STM0447 669
99287.STM0447 99287.STM0012 669
99287.STM0012 99287.STM0460 181
99287.STM0460 99287.STM0012 181
99287.STM0012 99287.STM0461 181
99287.STM0461 99287.STM0012 181
99287.STM0012 99287.STM0487 808
99287.STM0487 99287.STM0012 808
99287.STM0012 99287.STM0488 261
99287.STM0488 99287.STM0012 261
99287.STM0012 99287.STM0529 252
99287.STM0529 99287.STM0012 252
99287.STM0012 99287.STM0530 252
99287.STM0530 99287.STM0012 252
99287.STM0012 99287.STM0536 344
99287.STM0536 99287.STM0012 344
99287.STM0012 99287.STM0567 391
99287.STM0567 99287.STM0012 391
99287.STM0012 99287.STM0603 237
99287.STM0603 99287.STM0012 237
99287.STM0012 99287.STM0608 339
99287.STM0608 99287.STM0012 339
99287.STM0012 99287.STM0616 286
99287.STM0616 99287.STM0012 286
99287.STM0012 99287.STM0656 391
99287.STM0656 99287.STM0012 391
99287.STM0012 99287.STM0658 391
99287.STM0658 99287.STM0012 391
99287.STM0012 99287.STM0687 636
99287.STM0687 99287.STM0012 636
99287.STM0012 99287.STM0691 265
99287.STM0691 99287.STM0012 265
99287.STM0012 99287.STM0734 265
99287.STM0734 99287.STM0012 265
99287.STM0012 99287.STM0735 252
99287.STM0735 99287.STM0012 252
99287.STM0012 99287.STM0738 293
99287.STM0738 99287.STM0012 293
99287.STM0012 99287.STM0739 252
99287.STM0739 99287.STM0012 252
99287.STM0012 99287.STM0903 255
99287.STM0903 99287.STM0012 255
99287.STM0012 99287.STM0944 219
99287.STM0944 99287.STM0012 219
99287.STM0012 99287.STM0945 622
99287.STM0945 99287.STM0012 622
99287.STM0012 99287.STM0972 216
99287.STM0972 99287.STM0012 216
99287.STM0012 99287.STM0981 278
99287.STM0981 99287.STM0012 278
99287.STM0012 99287.STM0984 181
99287.STM0984 99287.STM0012 181
99287.STM0012 99287.STM0998 290
99287.STM0998 99287.STM0012 290
99287.STM0012 99287.STM1022 255
99287.STM1022 99287.STM0012 255
99287.STM0012 99287.STM1070 721
99287.STM1070 99287.STM0012 721
99287.STM0012 99287.STM1094 371
99287.STM1094 99287.STM0012 371
99287.STM0012 99287.STM1097 300
99287.STM1097 99287.STM0012 300
99287.STM0012 99287.STM1101 211
99287.STM1101 99287.STM0012 211
99287.STM0012 99287.STM1112 779
99287.STM1112 99287.STM0012 779
99287.STM0012 99287.STM1116 289
99287.STM1116 99287.STM0012 289
99287.STM0012 99287.STM1185 219
99287.STM1185 99287.STM0012 219
99287.STM0012 99287.STM1221 524
99287.STM1221 99287.STM0012 524
99287.STM0012 99287.STM1228 269
99287.STM1228 99287.STM0012 269
99287.STM0012 99287.STM1290 372
99287.STM1290 99287.STM0012 372
99287.STM0012 99287.STM1318 592
99287.STM1318 99287.STM0012 592
99287.STM0012 99287.STM1341 480
