protein1 protein2 combined_score
272620.KPN_02470 272620.KPN_00014 299
272620.KPN_00014 272620.KPN_02640 490
272620.KPN_02640 272620.KPN_00014 490
272620.KPN_00014 272620.KPN_02689 222
272620.KPN_02689 272620.KPN_00014 222
272620.KPN_00014 272620.KPN_02691 688
272620.KPN_02691 272620.KPN_00014 688
272620.KPN_00014 272620.KPN_02850 357
272620.KPN_02850 272620.KPN_00014 357
272620.KPN_00014 272620.KPN_02858 315
272620.KPN_02858 272620.KPN_00014 315
272620.KPN_00014 272620.KPN_02859 923
272620.KPN_02859 272620.KPN_00014 923
272620.KPN_00014 272620.KPN_02860 702
272620.KPN_02860 272620.KPN_00014 702
272620.KPN_00014 272620.KPN_02861 932
272620.KPN_02861 272620.KPN_00014 932
272620.KPN_00014 272620.KPN_02873 223
272620.KPN_02873 272620.KPN_00014 223
272620.KPN_00014 272620.KPN_02892 213
272620.KPN_02892 272620.KPN_00014 213
272620.KPN_00014 272620.KPN_02907 269
272620.KPN_02907 272620.KPN_00014 269
272620.KPN_00014 272620.KPN_02915 999
272620.KPN_02915 272620.KPN_00014 999
272620.KPN_00014 272620.KPN_02936 999
272620.KPN_02936 272620.KPN_00014 999
272620.KPN_00014 272620.KPN_03058 359
272620.KPN_03058 272620.KPN_00014 359
272620.KPN_00014 272620.KPN_03094 179
272620.KPN_03094 272620.KPN_00014 179
272620.KPN_00014 272620.KPN_03116 292
272620.KPN_03116 272620.KPN_00014 292
272620.KPN_00014 272620.KPN_03123 325
272620.KPN_03123 272620.KPN_00014 325
